Group,Values
0,coat
0,jacket
1,blazer
2,hoodies
2,sweater
2,sweatshirt
3,vest
4,cardigan
5,raincoat
5,windbreaker
6,jeans
6,denim pants
7,palazzo
8,pants
8,trousers
9,sweatpants
9,joggers
9,trackpants
10,leggings
10,compression pants
10,tights
11,jumpsuits
11,bodysuits
11,overall
12,playsuits
13,singlet
13,tank tops
13,camisole
14,shapewear
14,corset
15,panty-hose
15,stocking
16,panties
17,brief
18,shorts
18,hot pants
19,trunks
19,boxer
20,bandage bra
20,sport bra
20,push-up
20,silicone bra
20,nipple cover
20,bikini
21,night gown
21,baju tidur
21,night dress
21,pyjamas
22,swimsuit
22,bikini
22,diving suit
22,board shorts
22,rash guard
23,baju kurung
23,baju kebaya
23,baju kemeja
24,blouse muslimah
24,jubah muslimah
25,telekung
25,sejadah
26,saree
26,anarkali
26,punjabi suit
27,baju melayu
28,cheongsam
29,shirt
29,t-shirt
29,kurta
29,button up
29,polo
29,baju
30,dress
30,gown
30,mini dress
31,skirt
32,skorts
32,shorts
33,blouse
33,crop top
33,peplum
34,hats
34,caps
34,visors
34,bonnets
35,hijab
35,shawl
35,scarves
35,pashmina
35,bandana
35,headband
35,tudung
36,beanie
36,balaclava
36,ski mask
36,innerscarf
37,helmet
37,safety hat
37,miner hat
38,earring
38,ear cuffs
39,spectacles
39,sunglasses
39,eye patch
39,glasses
39,cermin mata
39,shades
40,contact lens
41,necklace
41,neck pendant
41,neck choker
42,necktie
42,bow tie
43,belts
43,waist chain
43,suspenders
44,brooch
44,cincin
44,diamond ring
44,gold ring
44,silver ring
44,gold pin
44,silver pin
45,shoes
45,sneakers
45,plimsolls
45,slip on
45,low tops
46,flip flops
46,sandals
46,slipper
46,selipar
47,boots
47,heels
47,wedges
47,platform
47,high-tops
48,oxford
48,espadrilles
48,brogue
48,loafers
49,sport shoes
49,spike
49,futsal shoes
49,toe shoes
49,hiking boots
49,skiing boots
49,wet shoes
49,safety boots
49,swimfin
50,flats
50,ballet flats
51,socks
51,socks shoes
52,spray
52,mist
52,deodorant
52,edt
52,edp
52,fragrance
52,cologne
52,perfume
52,minyak wangi
52,pen perfume
53,supplement pil
53,supplement tablets
53,supplement drinks
54,fat burner
54,protein powder
55,compact powder
55,loose powder
55,foundation concealer
55,bb cream
55,bb cushion
55,blusher
56,shading
56,highlight stick
56,contour stick
56,contour cream
56,cream blusher
56,blusher stick
56,blusher tint
56,cheek stain
57,cream eye shadow
57,eyeshadow stick
57,eyebrow pencil
57,eyeshadow pen
57,eyeliner pen
58,mascara
58,eyelashes glue
58,eyelid tape
58,fake eyelashes
58,falsies
58,eyelash curler
59,make-up brush
59,make-up sets
59,make-up sponges
59,facial sponges
59,foundation sponges
59,beauty sponges
59,beauty blender
59,facial tool
60,hair dryer
60,hair straightener
60,hair curler
60,hair comb
61,lipstick
61,lipbalm
61,lip liner
61,lip gloss
61,lip tint
61,lip stain
62,styling wax
62,hair pomade
62,hair spray
62,styling gel
62,dry shampoo
62,hair perfume
62,hair oil
62,hair mask
62,hair vitamin
62,hair serum
62,hair treatment
63,electric toothbrush
63,mouth toothbrush
63,toothpaste
63,dental equipment
63,mouthwash
63,teeth floss
64,feminine wash
65,adult toy
65,sex toy
65,dildo
65,vibrator
65,condom
65,lubricant
65,kondom
65,minyak lintah
66,razor blade
66,electric shaver
66,hair removal wax
66,hair removal cream
67,sanitary pad
67,sanitary napkin
67,tampon
67,menstrual cup
68,sunscreen cream
68,sunblock lotion
68,sunblock cream
68,sunblock gel
69,skin lotion
69,body lotion
69,hand cream
69,oinment
69,skin serum
69,aloe vera gel
69,moisturizing gel
69,moisturizing cream
69,night cream
69,day cream
69,whitening cream
70,body scrub
70,face scrub
71,face toner
71,face serum
71,face moisturizer
71,facial essence
71,facial cleanser
71,skin essence
71,face mist
72,face mask
72,eye mask
72,lip mask
72,blackhead remover
72,acne gel
72,scar gel
72,acne cream
73,wound bandage
73,wound plaster
73,wound swabs
74,heart rate monitor
74,glucose meter
74,stethoscope
74,thermometer
74,nebulizer
74,pulse oximeter
74,blood pressure monitor
75,weighing scale
76,designing desktop
76,mini pcs
76,gaming desktop
77,laptop
77,ultrabook
77,netbook
77,2-1 laptop
77,gaming laptop
77,traditional laptop
77,notebook
77,designing laptop
78,solid state drives
78,external hard drives
78,internal hard drives
78,flash drives
78,pendrives
78,thumbdrive
78,card reader
79,printer
79,inkjet printer
79,laser printer
79,dot metric printer
79,3d printer
80,scanner
80,flatbed scanners
80,handheld scanners
80,sheetfed scanner
81,printer ink
81,printer cartridge
81,printer toner
82,lcd projecter
82,led projecter
82,laser projecter
83,network cables
83,modems
83,routers
83,network adapters
83,network converters
84,mouse
84,mice
84,gaming mouse
84,wireless mouse
85,mousepad
85,gaming mousepad
86,keyboard
86,gaming keyboard
86,wireless keyboard
86,mechanical keyboard
87,monitor screen
87,gaming monitor
88,gaming chair
89,ram
89,cooling fans
89,heatsinks
89,graphic cards
89,laptop chargers
89,power supply
89,computer softwares
90,webcam
91,macbooks
91,traditional laptops
91,gaming laptops
91,2-in-1 laptops
92,handheld consoles
92,stationary consoles
93,joystick
93,controller
93,vr box
94,toy vehicles
94,action figures
94,family games
95,collectable merchandise
95,album
95,record
95,pokemon merchandise
96,puzzle
96,lego
96,nanoblock
96,loz
96,tico
96,gundam
97,rubiks cube
97,fidget toys
97,yoyo
97,kendama
97,desk toys
97,slime
98,board game
98,mahjong
98,trading card
98,deck box
98,card sleeve
99,darts fights
99,dart shaft
99,dart accessories
99,dart tips
100,pool cue
100,snooker cue
100,pool table
100,snooker table
100,pool ball
100,snooker ball
101,novel
101,magazine
102,guitar
102,violin
102,ukulele
102,bass guitar
102,cello
102,harp
102,viola
103,piano
103,keyboard
103,organ
103,electric keyboard
103,digital piano
103,synthesizers
104,drum
104,electric drum
104,bongo
105,flute
105,clarinet
105,saxophone
105,piccolo
105,trumpet
105,trombone
105,tuba
106,cd
106,dvd
106,blu-ray
106,dvd-r
106,dvd-rw
106,dvd-rom
106,dvd-ram
107,fishing rod
107,fishing reel
107,rod fishing
107,pancing
107,camping tent
107,sleeping bag
108,racket
108,treadmill
108,football
108,basketball
108,skateboard
108,scooter
109,yoga mat
110,dumbell
110,barbell
110,elastic band
111,headphones
111,earphones
111,headset
111,bluetooth earphone
111,bluetooth headphone
111,wireless headphone
111,wireless earphone
112,usb speakers
112,bluetooth speakers
112,hi-fi
113,microphones
113,bluetooth microphones
114,usb fan
114,usb light
114,mini fan
115,smart tag
115,walkie talkie
116,phone battery
116,powerbank
116,phone cable
116,phone charger
116,phone wireless charger
116,phone usb cable
117,smart watch
117,fitness tracker
118,mobile phone
118,cell phone
118,smartphone
118,iphone
119,tablets
119,e-book
119,e-reader
119,android tablets
119,ipads
119,tablets 2-in-1
120,landline telephone
120,cordless phone
121,tempered glass
121,screen protector
121,privacy screen
122,phone cover
122,phone bumper
122,phone case
122,phone holder
122,phone stand
123,action camera
123,sport camera
123,drones
124,instant camera
124,compact camera
124,dslr
124,selfie camera
124,bridge camera
124,camcorder
124,smartphone camera
125,monopod
125,tripod
125,shutters
125,lenses
126,car mounts
126,car chargers
126,car bluetooth devices
127,car stickers
127,car seats
128,engine oil
128,lubricant oil
128,coolants
128,brake fluids
128,transmission fluids
129,sport rim
129,steering
129,body kit
129,wiper
130,helmet motorcycle
131,watch collection box
131,watch tools
131,watch straps
131,watch clasps
132,bracelet watch
132,analogue watch
132,digital watch
132,chronograph watch
132,hybrid watch
132,sports watch
133,vape mods
133,vape tanks
133,e-juice
133,vape battery
134,statues
134,figurines
134,accents
134,charms
135,baby jumpsuits
135,baby playsuits
135,baby rompers
135,baby bodysuits
135,baby overall
135,kids jumpsuit
135,kids overall
136,baby pants
136,baby trousers
136,kids pants
136,kids trousers
137,baby singlet
137,baby tank tops
137,kids singlet
137,kids singlet
137,kids tank tops
138,baby hoodies
138,baby cardigan
138,baby sweater
138,kids hoodies
138,kids cardigan
138,kids sweater
138,baby cot
138,baby romper
139,baby shirts
139,baby blouse
139,kids shirts
139,kids blouse
140,baby car seats
140,baby strollers
140,baby walkers
140,baby bouncers
140,baby carrier
140,baby chair
141,bottle feeding
141,sterilisers
141,warmers
141,teethers
141,pacifiers
141,baby bibs
141,baby storage
141,dispensers
142,diapers
142,potties
142,diaper bag
142,pampers
143,bath liquid cleanser
143,oral care
144,baby wipes
145,bath tub
146,early learning
146,kids arts
146,kids crafts
147,stuffed toys
147,playing dolls
148,building blocks
148,building puzzle
149,kids puzzles
149,educational puzzle
150,sports toys
150,outdoor play
150,rc cars
151,musical toys
152,playmats
153,baby mittens
153,baby gloves
153,kids gloves
154,baby caps
154,baby hats
154,kids caps
154,kids hats
155,baby beanies
155,baby headband
155,kids beanies
155,kids headband
156,baby booties
156,baby socks
156,baby legging
156,kids socks
156,kids legging
157,baby bag
157,kids bag
158,kids watches
159,kids shoes
160,baby hanger
160,receiving blanket
161,baby bed
161,blankets
161,pillows
161,bolsters
161,mattress
161,bandal
161,katil
162,baby cot
162,playpen
163,baby monitor
163,baby thermometer
163,nasal aspirator
164,breast pump
164,baby bottle
164,breast pad
164,nursing bra
164,nursing pillows
164,bottle brush
164,cotton swabs
164,bengkung
164,milk bottle
164,botol susu
164,nursing cover
164,maternity dress
164,maternity pants
165,baby moisturizers
165,maternity creams
165,rubbing alcohol
165,baby ointment
166,baby detergent
167,baby shower gel
167,baby head to toe wash
167,baby shampoo
168,baby milk formula
168,baby food
168,kids supplements
169,bed frame
169,bed
169,mattress
169,wardrobe
169,cupboard
169,vanity table
169,bedroom mirror
169,clothes rack
169,drawer
170,dining table
170,chair
170,sink
170,kitchen cabinet
170,kitchen rack
171,office table
171,office chair
172,sofa
172,coffee table
172,table
172,meja
172,sofa bed
172,tv cabinet
172,study table
173,patio umbrella
173,lounge furniture
174,laundry basket
174,brooms
174,mops
174,sweepers
174,cleaning tools
174,clothes hanger
174,drying racks
174,garbage bin
174,dustbin
174,laundry tools
174,iron board
174,clothes iron
174,spin mop
174,steam iron
175,water bottles
175,kitchen canisters
175,kitchen jars
175,dish racks
175,kitchen storage organizers
175,kitchen food storage
175,thermal flasks
175,kitchen containers
176,bed covers
176,bed protectors
176,bedding sets
176,comforters
176,quilts
176,bed sheets
176,cadar
176,cadar patchwork
177,spoons
177,forks
177,cups
177,mug
177,chopstick
177,plate
177,bowl
177,cutlery
178,knives
178,sharpeners
178,peeler
178,chopping boards
178,cutters
178,can opener
178,colander
178,potato masher
178,grater
178,shears
178,garlic press
178,spatula
178,stirring spoon
178,tongs
178,ladle
178,oven mitts
178,lighter
179,measuring cups
179,measuring spoons
179,mixing bowls
179,whisk
179,baking sheet pan
180,clocks
180,watches
181,rugs
181,carpets
181,karpet
182,mirrors
182,wall art
182,wall sticker
182,wallpaper
183,artificial flowers
183,artificial plants
184,cushions
184,sofa covers
185,curtains
185,blinds
185,langsir
186,fragrance
186,candles
187,balloon
188,clothes organization
188,clothes hanger
188,clothes peg
188,wardrobe
188,almari baju
189,racks
189,shelves
189,storage cabinets
189,almari
189,book shelf
189,shoe rack
189,rak kasut
190,storage bins
190,baskets
191,plastic bag
191,paper bag
192,bathroom lighting
192,ceiling lights
192,floor lamps
192,lamp shades
192,lighting fixtures
192,lighting components
192,outdoor lighting
192,specialty lighting
192,wall lights
192,sconces
192,ring light
193,light bulbs
193,fluorescent tube
194,table lamps
195,mats
195,shower curtains
196,bath towels
196,bath robes
197,bathroom storage
197,bathroom shelves
197,bathroom mirrors
197,bathroom cabinet
198,bathroom scales
199,plugs adapters
199,extension cable
199,extension plugs
200,power tools
200,diy tools
200,hammer
200,screwdriver
200,wrench
200,pliers
200,ratchet
200,drills
200,saw
200,level
200,utility knife
200,tools box
200,mallet
200,hacksaw
200,chisel
200,scraper
200,paint brush
200,workbench
200,vice
200,sandpaper
201,screws
201,nails
201,bolts
201,washer
202,outdoor tools
202,garden tools
203,stickers
203,tapes
203,sticky note
203,bubble wrap
204,diaries
204,diary book
204,notebook
204,planner
204,digital calendar
204,notepad
204,photobook
205,pen
205,pencil
205,marker pen
205,permanent marker
205,colour pencil
205,water colour brushes
205,chalk
206,watercolour
206,water crayon
206,colour pencil
206,oil paint
206,acrylic paint
206,water colour pencil
207,whiteboard eraser
207,blackboard duster
207,chalkboard eraser
208,ruler
208,measurement tape
208,tape measure
209,scissors
209,paper cutter
209,cutting blade
210,lace fabric
210,patchwork fabric
210,cotton fabric
210,ribbon fabric
210,linen fabric
210,silk fabric
210,canvas fabric
210,crepe fabric
210,lycra fabric
210,jersey fabric
210,kain pasang
211,rice spoon
211,spatula
211,rice scoop
211,rice paddle
212,fold over purses
212,zip purses
212,multi purpose pouches
212,coin pouches
212,short wallet
212,long wallet
212,zip wallet
212,passport holder
213,tote bags
213,jelly bag
214,shoulder bags
214,rucksack
214,drawstrings
214,outdoor backpack
215,clutches
215,wristlets
216,makeup bags
216,pouch
217,handbag
218,backpacks
218,drawstrings
218,rucksacks
218,school bag
218,beg sekolah
218,laptop bag
219,suitcases
219,travel totes
219,duffels
219,packing organizers
219,tags
219,covers
220,bucket bag
220,messenger bag
220,crossbody bag
220,sling bag
221,briefcase
222,travel luggage
222,packing organizer
222,hand luggage
222,wheeled luggage
223,travel accessories
223,packing organizer
223,makeup organizer
224,towels
224,pet shampoo
224,clippers
224,grooming wipes
224,blowers
224,pet brush
224,pet deodoriser
225,pet litter
225,waste removal
225,litter box
226,feeders
226,pee pads
227,wearables
227,leashes
227,collars
228,pet clothing
228,pet costume
229,pet foods
229,treats
230,heating
230,filters
230,filtration
230,circulation
230,air pumps
230,medications
230,water pumps
230,live plant
230,lighting
230,hoods
230,decorations
231,pet mats
231,pet feeder
231,pet climber
231,cage
231,pet bed
231,aquarium
232,skincare
232,coat care
232,flea medicine
232,tick medicine
232,dental care
232,eye care
232,ear care
232,vitamins
232,supplements
233,pet climber
233,cage
233,pet bed
233,aquarium
233,pet scratcher
233,kennel
234,laundry detergent
234,softener
234,floor cleaners
234,kitchen cleaners
234,toilet cleaners
234,multipurpose cleaner
235,toilet paper
235,tissue paper
236,pest
236,pesticide
236,repellant
236,insect coil
236,camphor ball
237,dried meat
237,dried fish
237,dried prawn
237,canned fish
237,canned meat
238,dried fruit
238,dried vegetable
239,jam
239,spreads
239,honey
239,jellies
240,cheese slice
240,cheese powder
241,adult milk powder
241,packet drinks
241,fruit juice
241,plain water
241,energy drinks
241,carbonated drinks
242,cereals
242,oats
243,biscuits
243,cookies
243,scones
243,brownies
243,chocolates
243,sweets
243,cakes
243,candy bar
244,cashew nuts
244,chestnuts
244,hazelnuts
244,sunflower seeds
244,walnut
244,mixed nut
245,chocolate drink
245,malt drink
245,dairy milk
245,dairy creamers
245,milk powder
245,yogurt drink
246,coffee bean
246,canned coffee
246,canned tea
246,instant coffee
246,tea powder
246,coffee powder
246,green coffee
246,green tea
247,sauces
247,dressings
247,spices
247,seasoning
247,cooking oil
247,coarse sugar
247,brown sugar
247,white sugar
247,sugar cube
247,sea salt
247,coarse salt
247,black pepper
247,white pepper
248,baking flour
248,baking soda
248,baking syrup
248,baking powder
248,baking extracts
248,baking flavoring
248,yeast
249,postage service
250,mobile reload
250,sim card
250,top-up coupon
250,reload coupon
251,bill payment
251,utilities payment
251,tnb bill
251,syabas bill
251,unifi bill
251,astro bill
252,shopee voucher
252,shopping voucher
253,restaurant voucher
253,spa voucher
253,dining voucher
254,event voucher
254,travel voucher
254,hotel voucher
255,manicure treatment
255,pedicure treatment
256,hand mixers
256,stand mixers
256,stick blenders
256,juicers
256,fruit extractors
256,sandwich makers
256,hand blenders
256,waffle maker
257,rice cooker
257,food steamer
257,multi cooker
257,bread maker
257,food processor
257,ice cream maker
257,periuk
257,pressure cooker
258,frying pan
258,cooking woks
258,stock pots
258,cooking pots
258,skillets
258,griddle
259,coffee machine
259,coffee grinder
259,coffee filter
259,kettle pots
259,thermo pots
260,handheld sewing machine
260,portable sewing machine
260,electric sewing machine
260,mesin jahit
261,air conditioner
261,air cooler
261,humidifiers
261,air purifiers
261,air conditioner accessories
261,portable aircond
262,stand fan
262,wall fan
262,ventilation fan
262,portable fan
262,ceiling fan
262,kipas angin
263,water heater
263,water cooler
263,water shower
264,cooler bag
265,cctv camera
265,ip camera
266,alarm sensor
266,motion censor
267,padlock
267,door lock
267,chain lock
268,home amplifiers
268,audio receivers
269,surround speaker
269,speaker soundbar
269,home theater
269,radio speaker
270,refrigerators
270,freezer
270,fridge
271,water purifier
271,water dispenser
271,water filter
272,microwave
272,oven
272,grill cooker
272,air fryer
273,cooktop
274,vacuum cleaner
274,robot vacuums
274,vacuum cleaner parts
275,car vacuum
276,dry iron
276,garment steamers
276,steam iron
276,travel iron
276,portable iron
276,traditional iron
277,washing machine
277,clothes dryer
278,crt tv
278,lcd tv
278,led tv
278,oled tv
278,plasma tv
278,qled tv
278,smart tv
278,4k tv
279,tv remote control
279,tv antenna
279,tv box
280,wall mount
